timestamp,solar_power,da_price,rt_price,tclw,tciw,sp,r,tcc,u10,v10,t2m,ssrd,strd,tsr,tp
2013-03-26 00:00:00,0.356987179,28.06,28.11,0.0,0.0,94943.0625,68.64755249,0.000976563,0.374853134,-1.70809269,293.6750488,21529488.0,28830944.0,24109712.0,0.000205934
2013-03-26 01:00:00,0.168653846,26.88,27.11,0.01335144,0.126327515,94893.5,65.53736877,0.995635986,1.002313614,-1.712625504,294.3952637,2056573.0,1287557.0,2464325.0,0.0
2013-03-26 02:00:00,0.488141026,27.06,26.03,0.0,0.029453278,94838.6875,58.11062622,0.570953369,2.128517151,-2.164870262,295.5546875,4119845.0,2562019.0,4976111.0,7.45e-05
2013-03-26 03:00:00,0.646282051,27.41,25.72,0.0,0.001213074,94754.875,47.42214966,0.055450439,2.738095284,-1.845421791,297.2814941,6790859.0,3877056.0,8004057.0,7.49e-05
2013-03-26 04:00:00,0.511858974,29.38,24.76,0.0,0.0,94659.375,40.35697937,0.0,2.592101097,-1.778944016,298.3666992,9593760.0,5103755.0,11074608.0,7.49e-05
2013-03-26 05:00:00,0.460320513,35.38,27.61,0.0,0.0,94620.375,36.40557861,0.0,2.294009209,-1.870388985,298.7961426,11986005.0,6320019.0,13722399.0,7.49e-05
2013-03-26 06:00:00,0.239038462,46.52,38.32,0.0,0.0,94595.5,34.96392822,0.0,2.168744087,-1.739495277,298.635498,13755595.0,7521750.0,15736077.0,7.49e-05
2013-03-26 07:00:00,0.066089744,47.77,34.08,0.0,0.0,94618.125,37.00062561,0.0,1.301366806,-0.933034897,297.595459,14777798.0,8704335.0,16970704.0,7.49e-05
2013-03-26 08:00:00,0.018461538,46.97,36.72,0.0,0.0,94638.0625,41.26968384,0.0,1.809017181,-1.19478035,295.0861816,15049598.0,9847451.0,17370304.0,7.49e-05
2013-03-26 09:00:00,0.000705128,45.9,37.72,0.0,0.0,94695.375,44.64398193,0.0,1.782143593,-0.243348122,294.6540527,15049598.0,10991299.0,17370304.0,7.49e-05
2013-03-26 10:00:00,0.0,46.48,37.35,0.0,0.0,94782.4375,50.75547791,0.0,1.383181572,0.621043205,292.8481445,15049598.0,12143909.0,17370304.0,7.49e-05
2013-03-26 11:00:00,0.0,45.18,35.480000000000004,0.0,0.0,94822.4375,56.36886597,0.0,0.52087307,0.70770359,291.5195312,15049598.0,13295105.0,17370416.0,7.49e-05
2013-03-26 12:00:00,0.0,42.57,34.730000000000004,0.0,0.0,94857.0625,58.88858032,0.0,-0.01017952,-0.389705658,290.6796875,15049598.0,14438277.0,17370416.0,7.49e-05
2013-03-26 13:00:00,0.0,40.87,33.37,0.0,0.0,94851.0625,61.23641968,0.0,-0.041811943,-1.604748726,288.713623,15049598.0,15571436.0,17370416.0,7.49e-05
2013-03-26 14:00:00,0.0,36.48,28.84,0.0,0.0,94835.375,63.68531799,0.0,0.215760231,-1.715465546,288.2087402,15049598.0,16694432.0,17370416.0,7.49e-05
2013-03-26 15:00:00,0.0,32.51,27.81,0.0,0.0,94796.8125,64.58880615,0.0,0.053416252,-1.313601494,288.3513184,15049598.0,17806544.0,17370416.0,7.49e-05
2013-03-26 16:00:00,0.0,33.2,29.06,0.0,0.0,94780.25,65.18740845,0.0,0.079737663,-1.102735519,289.0744629,15049598.0,18911472.0,17370416.0,7.49e-05
