sample_day,actual_test_day_index,test_date,hour_idx,actual,ar_forecast,proposed_forecast
0,0,2013-11-23,0,0.504575,0.42864541968560993,0.447238117399293
0,0,2013-11-23,1,0.508625,0.5240657631857268,0.6472292643868713
0,0,2013-11-23,2,0.655375,0.5731059959199438,0.7072880658943725
0,0,2013-11-23,3,0.7322,0.6983549456170454,0.8103123066655906
0,0,2013-11-23,4,0.772925,0.6331083282295062,0.8545782251053653
0,0,2013-11-23,5,0.858,0.5089262315265394,0.7773928166796265
0,0,2013-11-23,6,0.720525,0.5159873453715569,0.8067250691392098
0,0,2013-11-23,7,0.636125,0.5100574563946504,0.5633800281617797
0,0,2013-11-23,8,0.42235,0.34187535074343056,0.4083430515975246
0,0,2013-11-23,9,0.189625,0.1516340944479797,0.5521652022884109
0,0,2013-11-23,10,0.0868,0.043207568175015226,0.58801197257828
1,4,2013-11-27,0,0.591925,0.6889527801847598,0.7235157589262062
1,4,2013-11-27,1,0.743825,0.8125826720888351,0.8945950517401438
1,4,2013-11-27,2,0.84245,0.8519824554276941,0.9685174692308358
1,4,2013-11-27,3,0.8818,0.8955460803436363,0.9621645144491648
1,4,2013-11-27,4,0.8705,0.8540218151649429,1.0
1,4,2013-11-27,5,0.8246,0.7375538445622667,0.9728667393971817
1,4,2013-11-27,6,0.745325,0.7197072650720219,0.8491675431684758
1,4,2013-11-27,7,0.498075,0.6586184159172872,0.7174342576214883
1,4,2013-11-27,8,0.36055,0.4381625087483655,0.5336372276027737
1,4,2013-11-27,9,0.1861,0.19370589324158452,0.5719734949907607
1,4,2013-11-27,10,0.0843,0.05173343677885552,0.7322987025716399
2,8,2013-12-01,0,0.176975,0.6216271302528527,0.6306820357032215
2,8,2013-12-01,1,0.278275,0.7778128334043715,0.8409686049004619
2,8,2013-12-01,2,0.5502,0.8555429675632961,0.8694274610855244
2,8,2013-12-01,3,0.7973,0.9009983362561809,0.9249538664917956
2,8,2013-12-01,4,0.918975,0.9259514502232672,0.9884184506649001
2,8,2013-12-01,5,0.8769,0.86997473666197,0.8955664585488063
2,8,2013-12-01,6,0.781225,0.7731924514282799,0.8118738756960973
2,8,2013-12-01,7,0.56835,0.6509579036472889,0.7110034540641017
2,8,2013-12-01,8,0.43745,0.41246751835611223,0.4677684400200537
2,8,2013-12-01,9,0.195175,0.1716190812187636,0.32570118571922657
2,8,2013-12-01,10,0.070775,0.03848733909123067,0.5021392464550579
3,12,2013-12-05,0,0.60995,0.48095444012366284,0.5674220690625014
3,12,2013-12-05,1,0.667225,0.5914950610212053,0.7454880231965064
3,12,2013-12-05,2,0.46405,0.6545509642480986,0.7819538720735826
3,12,2013-12-05,3,0.315375,0.7834409664117683,0.8703988359544241
3,12,2013-12-05,4,0.143275,0.690320895870357,0.8387835125455472
3,12,2013-12-05,5,0.19655,0.5039442540090237,0.7853094846275874
3,12,2013-12-05,6,0.58055,0.4698207372862203,0.7436546319284183
3,12,2013-12-05,7,0.33415,0.6041611597006966,0.6917756704208273
3,12,2013-12-05,8,0.36955,0.4215540183618942,0.5521325487379296
3,12,2013-12-05,9,0.15165,0.1908076816497391,0.6310981053081962
3,12,2013-12-05,10,0.09505,0.053414374094037105,1.0
4,16,2013-12-09,0,0.130475,0.6566295266377309,0.6762416620843171
4,16,2013-12-09,1,0.409175,0.7895647987957729,0.8723835607757817
4,16,2013-12-09,2,0.685,0.8349408103336083,0.9215903891079826
4,16,2013-12-09,3,0.67695,0.876819380016553,0.9376794347764054
4,16,2013-12-09,4,0.6238,0.871248619897354,1.0
4,16,2013-12-09,5,0.765575,0.7788727122745395,0.9559356998308101
4,16,2013-12-09,6,0.408825,0.7387773432112386,0.8657334718594867
4,16,2013-12-09,7,0.19665,0.6737128670368472,0.7427732425033216
4,16,2013-12-09,8,0.204275,0.4563216033970229,0.5429964957485938
4,16,2013-12-09,9,0.2194,0.2015107523179676,0.5426475422242317
4,16,2013-12-09,10,0.08545,0.05187632197847998,0.7130306010741572
5,20,2013-12-13,0,0.571675,0.6156150651048653,0.6152795551211212
5,20,2013-12-13,1,0.730125,0.7586256309189068,0.8366639249984935
5,20,2013-12-13,2,0.839675,0.8373434433295457,0.8590649752521338
5,20,2013-12-13,3,0.888675,0.8807534685875769,0.906861349711248
5,20,2013-12-13,4,0.8919,0.917740381533094,1.0
5,20,2013-12-13,5,0.866275,0.904599411807651,0.9165370435464841
5,20,2013-12-13,6,0.740375,0.8054951125643764,0.8679312418603756
5,20,2013-12-13,7,0.543775,0.6734332499537891,0.7415682947505582
5,20,2013-12-13,8,0.3446,0.4437403959861349,0.499275189122962
5,20,2013-12-13,9,0.2075,0.18699090414157687,0.36722890972838873
5,20,2013-12-13,10,0.059325,0.04224377885363759,0.5276123406886778
6,24,2013-12-17,0,0.553075,0.424404463564794,0.41089687089179383
6,24,2013-12-17,1,0.7066,0.5405051400141194,0.6417490791287778
6,24,2013-12-17,2,0.8055,0.6260713538273616,0.6760432177048739
6,24,2013-12-17,3,0.848625,0.7070627923495543,0.7841029983056274
6,24,2013-12-17,4,0.85205,0.7483369100470296,0.8621573197651201
6,24,2013-12-17,5,0.779325,0.6240034413369421,0.7357781590040681
6,24,2013-12-17,6,0.762475,0.6030874473808777,0.7806361482070031
6,24,2013-12-17,7,0.613675,0.4651395453749534,0.5027335069141377
6,24,2013-12-17,8,0.431575,0.28249972775208654,0.3451780660934854
6,24,2013-12-17,9,0.148625,0.11477105887338274,0.35265663161749594
6,24,2013-12-17,10,0.0691,0.029296567179760487,0.47416423778155115
