sample_day,actual_test_day_index,test_date,hour_idx,actual,ar_forecast,proposed_forecast
0,0,2013-11-23,0,0.504575,0.40180761139524923,0.4609307080011289
0,0,2013-11-23,1,0.508625,0.5115238501552585,0.6236421274971542
0,0,2013-11-23,2,0.655375,0.6302346255722198,0.711624207500704
0,0,2013-11-23,3,0.7322,0.6787206847913461,0.7596590144702791
0,0,2013-11-23,4,0.772925,0.7213612203934439,0.8675682957875753
0,0,2013-11-23,5,0.858,0.6072791622170678,0.7693689235336115
0,0,2013-11-23,6,0.720525,0.5051086205590236,0.7729324625170568
0,0,2013-11-23,7,0.636125,0.46583366160438394,0.5362724682167928
0,0,2013-11-23,8,0.42235,0.31106379787432237,0.40520912532120856
0,0,2013-11-23,9,0.189625,0.16267103544445627,0.692316849875363
0,0,2013-11-23,10,0.0868,0.04257565102576826,0.5882122114918988
0,0,2013-11-23,11,0.0138,0.013567901615203541,0.3837152138589257
1,4,2013-11-27,0,0.591925,0.6126768112991717,0.7116495718677894
1,4,2013-11-27,1,0.743825,0.795158852749747,0.8971945227878826
1,4,2013-11-27,2,0.84245,0.9302316789930481,0.9494022590128228
1,4,2013-11-27,3,0.8818,0.8696151835925472,0.9102471923878828
1,4,2013-11-27,4,0.8705,1.0,1.0
1,4,2013-11-27,5,0.8246,1.0,0.9836620543158952
1,4,2013-11-27,6,0.745325,0.7558768281560297,0.7999492558010811
1,4,2013-11-27,7,0.498075,0.6106567966611669,0.6436993173379678
1,4,2013-11-27,8,0.36055,0.3871319701886188,0.5288785133438888
1,4,2013-11-27,9,0.1861,0.22382263494900134,0.7766593461032351
1,4,2013-11-27,10,0.0843,0.0501215842684066,0.6477446892180658
1,4,2013-11-27,11,0.027875,0.021456734505959262,0.3332336786158169
2,8,2013-12-01,0,0.176975,0.5760895956586656,0.6126056251424215
2,8,2013-12-01,1,0.278275,0.7720862034265987,0.8340137160538443
2,8,2013-12-01,2,0.5502,0.8985997183826737,0.8638819544020009
2,8,2013-12-01,3,0.7973,0.8863554361880313,0.9010964086924507
2,8,2013-12-01,4,0.918975,1.0,0.9857600762525339
2,8,2013-12-01,5,0.8769,0.9624887114188485,0.9031493661393563
2,8,2013-12-01,6,0.781225,0.7894531204354319,0.7944737717753811
2,8,2013-12-01,7,0.56835,0.6409255824402997,0.6564562827633432
2,8,2013-12-01,8,0.43745,0.38489779192209095,0.46376482435125294
2,8,2013-12-01,9,0.195175,0.1947055925197293,0.4490172677645367
2,8,2013-12-01,10,0.070775,0.03814227126779689,0.39661117908447063
2,8,2013-12-01,11,0.023075,0.01300865392984193,0.0
3,12,2013-12-05,0,0.60995,0.5121348399672077,0.5912991603859346
3,12,2013-12-05,1,0.667225,0.5942475512406054,0.748266501925008
3,12,2013-12-05,2,0.46405,0.6101930075518319,0.7847737792511742
3,12,2013-12-05,3,0.315375,0.7931240562113455,0.9056736984304399
3,12,2013-12-05,4,0.143275,0.468010439472881,0.8015272381577435
3,12,2013-12-05,5,0.19655,0.39804409684648195,0.7682697868936661
3,12,2013-12-05,6,0.58055,0.3926062424831932,0.7301224919580962
3,12,2013-12-05,7,0.33415,0.6089106861496801,0.7223135019644027
3,12,2013-12-05,8,0.36955,0.4533373553603524,0.5534422907172154
3,12,2013-12-05,9,0.15165,0.16388383115139799,0.6346664039192231
3,12,2013-12-05,10,0.09505,0.05456312768132873,1.0
3,12,2013-12-05,11,0.043975,0.006686001731291761,0.7720428085094054
4,16,2013-12-09,0,0.130475,0.5563166781932557,0.649809240490724
4,16,2013-12-09,1,0.409175,0.7714249986213935,0.8636066765250661
4,16,2013-12-09,2,0.685,0.9478201753136638,0.8976906499309065
4,16,2013-12-09,3,0.67695,0.8402408737451148,0.852026367392176
4,16,2013-12-09,4,0.6238,1.0,1.0
4,16,2013-12-09,5,0.765575,1.0,0.9730157313676853
4,16,2013-12-09,6,0.408825,0.7956347788145828,0.8056163268009512
4,16,2013-12-09,7,0.19665,0.6148272743078054,0.6351609871788693
4,16,2013-12-09,8,0.204275,0.3816532229384602,0.5354312555326789
4,16,2013-12-09,9,0.2194,0.2516547997180156,0.8117390743453259
4,16,2013-12-09,10,0.08545,0.04988862328386218,0.5504123075481886
4,16,2013-12-09,11,0.025175,0.025710042089789883,0.14697549178010327
5,20,2013-12-13,0,0.571675,0.5721520691322727,0.5982860856424633
5,20,2013-12-13,1,0.730125,0.751403827315682,0.8254994851163984
5,20,2013-12-13,2,0.839675,0.8927260480431928,0.8528777584996459
5,20,2013-12-13,3,0.888675,0.8624408856627039,0.8762231622962418
5,20,2013-12-13,4,0.8919,1.0,1.0
5,20,2013-12-13,5,0.866275,0.9955840812231779,0.927298859082714
5,20,2013-12-13,6,0.740375,0.8262983793379224,0.8447461027418309
5,20,2013-12-13,7,0.543775,0.658427206327275,0.675317063220798
5,20,2013-12-13,8,0.3446,0.4075989161019027,0.49452077848498255
5,20,2013-12-13,9,0.2075,0.21582119491708462,0.5048399658857902
5,20,2013-12-13,10,0.059325,0.041772224201637925,0.3987590556736491
5,20,2013-12-13,11,0.03195,0.014781577561460726,0.0
6,24,2013-12-17,0,0.553075,0.3047049721403172,0.353123378305632
6,24,2013-12-17,1,0.7066,0.5246135693407015,0.5892034929123157
6,24,2013-12-17,2,0.8055,0.8214391874415594,0.6346072141603646
6,24,2013-12-17,3,0.848625,0.6477068601844533,0.6019549764680046
6,24,2013-12-17,4,0.85205,1.0,0.9366825914172066
6,24,2013-12-17,5,0.779325,1.0,0.7553261712679549
6,24,2013-12-17,6,0.762475,0.7053528422373528,0.6976123877416568
6,24,2013-12-17,7,0.613675,0.3574967913949374,0.3367930221831704
6,24,2013-12-17,8,0.431575,0.14268757655746092,0.330844821151301
6,24,2013-12-17,9,0.148625,0.21220218812239985,0.7499145972483859
6,24,2013-12-17,10,0.0691,0.026456898491815768,0.1744529330034878
6,24,2013-12-17,11,0.020325,0.030294787808374465,0.1739296825123534
